Time,Vel_X,Vel_Y,Vel_Z,Total
1.569000,0.000776,-0.056716,0.078276,0.096667
1.724000,0.010173,-0.034816,0.089603,0.096667
1.948000,-0.041298,-0.067526,-0.055489,0.096667
2.165000,-0.027541,-0.037357,-0.084796,0.096667
2.383000,0.006996,-0.019870,-0.094343,0.096667
2.600000,0.024110,-0.004879,-0.093485,0.096667
2.813000,0.031673,0.010557,-0.090718,0.096667
3.029000,0.054523,0.049897,-0.062305,0.096667
3.246000,-0.035785,0.062409,0.064567,0.096667
3.459000,-0.025193,-0.028668,0.088814,0.096667
3.680000,-0.021057,-0.027388,0.090283,0.096667
3.895000,-0.033179,-0.018548,0.088879,0.096667
4.112000,-0.043213,-0.000619,0.086468,0.096667
4.335000,-0.023242,0.013605,0.092839,0.096667
4.548000,0.017916,-0.001937,0.094972,0.096667
4.762000,0.056733,-0.048467,0.061455,0.096667
4.987000,0.042582,-0.063800,-0.058829,0.096667
5.200000,0.007730,-0.010868,-0.095742,0.096667
5.414000,0.056137,-0.003367,-0.078624,0.096667
5.628000,0.084485,-0.009761,-0.045950,0.096667
5.850000,0.046176,-0.019700,-0.082608,0.096667
6.070000,-0.037162,-0.011781,-0.088457,0.096667
6.290000,-0.078780,0.018087,-0.053020,0.096667
6.493000,-0.028554,0.055039,0.074161,0.096667
6.716000,-0.060197,0.032263,0.068410,0.096667
6.937000,-0.073295,0.018628,0.060211,0.096667
7.151000,-0.052373,0.010178,0.080610,0.096667
7.371000,-0.000224,0.007418,0.096381,0.096667
7.587000,0.044985,0.007489,0.085233,0.096667
7.796000,0.081913,0.004319,0.051147,0.096667
8.013000,0.078331,0.002505,-0.056590,0.096667
8.232000,-0.006576,0.005749,-0.096271,0.096667
8.448000,-0.026012,0.007079,-0.092832,0.096667
8.665000,0.077527,-0.010619,-0.056755,0.096667
8.886000,0.089292,-0.017961,-0.032385,0.096667
9.098000,0.029160,-0.020557,-0.089842,0.096667
9.315000,-0.071913,-0.004377,-0.064450,0.096667
9.532000,-0.045516,0.034001,0.078209,0.096667
9.748000,-0.077981,0.028617,0.049442,0.096667
9.965000,-0.081991,0.021815,0.046325,0.096667
10.189000,-0.066453,0.015196,0.068539,0.096667
10.397000,-0.018556,0.008316,0.094504,0.096667
10.613000,0.067301,0.002531,0.069344,0.096667
10.829000,0.095486,-0.001286,0.015008,0.096667
11.049000,0.068398,0.000840,-0.068304,0.096667
11.264000,-0.019972,0.008144,-0.094230,0.096667
11.480000,-0.028618,-0.087045,-0.030801,0.096667
11.696000,0.049412,0.010021,0.082477,0.096667
11.913000,0.016134,0.011264,0.094643,0.096667
12.132000,-0.068081,0.049039,0.048006,0.096667
12.349000,-0.077032,0.046910,-0.034783,0.096667
12.570000,-0.029616,0.050270,-0.077073,0.096667
12.780000,0.052339,0.014370,-0.079991,0.096667
12.998000,0.043535,0.011014,-0.085603,0.096667
13.216000,0.044810,0.029914,-0.080260,0.096667
13.431000,0.076081,0.053837,-0.025646,0.096667
13.655000,0.077858,0.052831,-0.022168,0.096667
13.862000,-0.056654,0.053265,-0.057425,0.096667
14.079000,-0.073179,0.001221,0.063148,0.096667
14.287000,-0.038616,0.001782,0.088601,0.096667
14.516000,-0.064820,0.002835,0.071658,0.096667
14.735000,-0.084983,0.001303,0.046051,0.096667
14.947000,-0.070518,0.000258,0.066118,0.096667
15.162000,0.002831,0.001907,0.096606,0.096667
15.384000,0.083096,0.005704,0.049061,0.096667
15.606000,0.096318,0.006364,0.005179,0.096667
15.816000,0.073855,0.017045,-0.059994,0.096667
16.032000,0.019053,0.007737,-0.094454,0.096667
16.247000,0.017633,-0.014753,-0.093893,0.096667
16.467000,0.008264,-0.033677,-0.090233,0.096667
16.690000,-0.014019,-0.016723,-0.094171,0.096667
16.896000,-0.019143,0.016172,-0.093362,0.096667
17.112000,-0.021597,0.089267,-0.030156,0.096667
17.328000,-0.045621,0.017281,0.083454,0.096667
17.547000,-0.054981,0.001788,0.079488,0.096667
17.764000,-0.059429,0.003849,0.076144,0.096667
17.980000,-0.024707,0.007673,0.093140,0.096667
18.199000,0.041186,0.010035,0.086876,0.096667
18.415000,0.063979,0.014895,0.070917,0.096667
18.632000,0.075872,0.036473,0.028866,0.088995
18.849000,-0.035982,0.016911,-0.088112,0.096667
19.063000,-0.028954,-0.001655,-0.092214,0.096667
19.281000,-0.035357,0.006631,-0.089724,0.096667
19.497000,0.010007,0.093244,0.023451,0.096667
19.717000,-0.021863,0.014204,-0.093084,0.096667
19.936000,-0.023868,-0.000464,-0.093672,0.096667
20.148000,-0.032003,0.022677,-0.088351,0.096667
20.366000,-0.031184,0.033432,-0.085172,0.096667
20.580000,-0.021549,0.044542,-0.083043,0.096667
20.797000,-0.025175,0.009969,-0.092797,0.096667
21.018000,-0.022363,0.016048,-0.092665,0.096667
21.235000,-0.037369,0.018666,-0.087176,0.096667
21.456000,-0.095057,-0.011087,-0.013627,0.096667
21.663000,0.087491,-0.002803,-0.041011,0.096667
21.880000,0.084118,0.003718,0.047485,0.096667
22.103000,-0.027467,0.003247,0.092626,0.096667
22.320000,-0.094985,0.002282,0.017809,0.096667
22.532000,-0.096635,-0.001620,0.001850,0.096667
22.754000,-0.088075,-0.007752,0.039078,0.096667
22.971000,0.057170,-0.018537,0.075713,0.096667
23.188000,0.096397,-0.006332,0.003466,0.096667
23.409000,0.093957,0.000689,-0.022717,0.096667
23.621000,0.057444,0.004912,-0.077592,0.096667
23.829000,0.028360,-0.013664,-0.091397,0.096667
